Using device: cuda
Train samples: 26
Val samples: 8
Input channels: 633
Epoch 135 | train loss=0.9316, train IoU=0.1686 | val loss=1.0003, val IoU=0.0000
Epoch 136 | train loss=0.9337, train IoU=0.1697 | val loss=1.0007, val IoU=0.0000
Epoch 137 | train loss=1.0032, train IoU=0.0559 | val loss=1.0053, val IoU=0.0000
Epoch 138 | train loss=1.0250, train IoU=0.0050 | val loss=1.0030, val IoU=0.0000
Epoch 139 | train loss=1.0383, train IoU=0.0030 | val loss=1.0391, val IoU=0.0000
Epoch 140 | train loss=1.0205, train IoU=0.0125 | val loss=1.0016, val IoU=0.0000
Epoch 141 | train loss=0.9925, train IoU=0.0242 | val loss=1.0016, val IoU=0.0000
Epoch 142 | train loss=0.9898, train IoU=0.0543 | val loss=1.0010, val IoU=0.0000
Epoch 143 | train loss=0.9908, train IoU=0.0248 | val loss=1.0019, val IoU=0.0000
Epoch 144 | train loss=0.9803, train IoU=0.0285 | val loss=1.0009, val IoU=0.0000
Epoch 145 | train loss=0.9636, train IoU=0.0857 | val loss=1.0009, val IoU=0.0000
Epoch 146 | train loss=0.9502, train IoU=0.0775 | val loss=1.0006, val IoU=0.0000
Epoch 147 | train loss=0.9414, train IoU=0.1191 | val loss=1.0012, val IoU=0.0000
Epoch 148 | train loss=0.9388, train IoU=0.1203 | val loss=1.0006, val IoU=0.0000
Epoch 149 | train loss=0.9454, train IoU=0.1399 | val loss=1.0004, val IoU=0.0000
Epoch 150 | train loss=0.9404, train IoU=0.1746 | val loss=1.0006, val IoU=0.0000
Epoch 151 | train loss=0.9471, train IoU=0.1499 | val loss=1.0006, val IoU=0.0000
Epoch 152 | train loss=0.9504, train IoU=0.0819 | val loss=1.0010, val IoU=0.0000
Epoch 153 | train loss=0.9418, train IoU=0.1177 | val loss=1.0007, val IoU=0.0000
Epoch 154 | train loss=0.9375, train IoU=0.0927 | val loss=1.0004, val IoU=0.0000
Epoch 155 | train loss=0.9345, train IoU=0.1613 | val loss=1.0003, val IoU=0.0000
Epoch 156 | train loss=0.9335, train IoU=0.1634 | val loss=1.0003, val IoU=0.0000
Epoch 157 | train loss=0.9329, train IoU=0.1655 | val loss=1.0003, val IoU=0.0000
Epoch 158 | train loss=0.9325, train IoU=0.1659 | val loss=1.0002, val IoU=0.0000
